company,year,statement,metric,value,source_id,page
603195,2024,bs,cash,5020380352.96,603195-2024,91
603195,2023,bs,cash,4743714425.66,603195-2024,91
603195,2024,bs,receivables,300129129.39,603195-2024,91
603195,2023,bs,receivables,264754433.75,603195-2024,91
603195,2024,bs,inventory,1573672819.32,603195-2024,91
603195,2023,bs,inventory,1421078059.44,603195-2024,91
603195,2024,bs,current_assets,16337394047.63,603195-2024,91
603195,2023,bs,current_assets,16347815186.95,603195-2024,91
603195,2024,bs,assets,20494034490.68,603195-2024,92
603195,2023,bs,assets,19762205724.93,603195-2024,92
603195,2024,bs,current_liabilities,4388186523.61,603195-2024,92
603195,2023,bs,current_liabilities,5070055389.40,603195-2024,92
603195,2024,bs,liabilities,4619054119.92,603195-2024,92
603195,2023,bs,liabilities,5301794179.20,603195-2024,92
603195,2024,bs,equity,15874980370.76,603195-2024,93
603195,2023,bs,equity,14460411545.73,603195-2024,93
603195,2024,is,revenue,16830541086.13,603195-2024,95
603195,2023,is,revenue,15694755606.24,603195-2024,95
603195,2024,is,cost,9551809101.31,603195-2024,95
603195,2023,is,cost,8914184532.27,603195-2024,95
603195,2024,is,selling_expense,1369414932.93,603195-2024,95
603195,2023,is,selling_expense,1070438160.60,603195-2024,95
603195,2024,is,rd,745510215.17,603195-2024,95
603195,2023,is,rd,673427386.61,603195-2024,95
603195,2024,is,profit,4269175911.20,603195-2024,96
603195,2023,is,profit,3864326491.41,603195-2024,96
603195,2024,is,parent_profit,4272204565.03,603195-2024,96
603195,2023,is,parent_profit,3870135376.47,603195-2024,96
603195,2024,cf,cfo,3730346896.27,603195-2024,99
603195,2023,cf,cfo,4827282098.55,603195-2024,99
603195,2024,cf,cfi,-706309760.89,603195-2024,100
603195,2023,cf,cfi,-3434383521.90,603195-2024,100
603195,2024,cf,cff,-3522305034.80,603195-2024,100
603195,2023,cf,cff,-1987046180.27,603195-2024,100
603195,2024,cf,fx,2396099.03,603195-2024,100
603195,2023,cf,fx,990633.94,603195-2024,100
603195,2024,cf,net_cash_change,-495871800.39,603195-2024,100
603195,2023,cf,net_cash_change,-593156969.68,603195-2024,100
603195,2024,cf,opening_cash,1332186205.30,603195-2024,100
603195,2023,cf,opening_cash,1925343174.98,603195-2024,100
603195,2024,cf,ending_cash,836314404.91,603195-2024,100
603195,2023,cf,ending_cash,1332186205.30,603195-2024,100
301362,2024,bs,cash,1083905571.64,301362-2024,85
301362,2023,bs,cash,912225054.55,301362-2024,85
301362,2024,bs,receivables,241888646.72,301362-2024,85
301362,2023,bs,receivables,221431210.45,301362-2024,85
301362,2024,bs,inventory,271683677.55,301362-2024,86
301362,2023,bs,inventory,234004737.85,301362-2024,86
301362,2024,bs,current_assets,2462060872.43,301362-2024,86
301362,2023,bs,current_assets,2239414994.72,301362-2024,86
301362,2024,bs,assets,3098082876.22,301362-2024,86
301362,2023,bs,assets,3057161203.87,301362-2024,86
301362,2024,bs,current_liabilities,496128950.49,301362-2024,87
301362,2023,bs,current_liabilities,425607993.81,301362-2024,87
301362,2024,bs,liabilities,554361576.59,301362-2024,87
301362,2023,bs,liabilities,494462801.64,301362-2024,87
301362,2024,bs,equity,2543721299.63,301362-2024,88
301362,2023,bs,equity,2562698402.23,301362-2024,88
301362,2024,is,revenue,1640959181.80,301362-2024,90
301362,2023,is,revenue,1528636317.16,301362-2024,90
301362,2024,is,cost,1146008677.06,301362-2024,90
301362,2023,is,cost,1025927487.44,301362-2024,90
301362,2024,is,selling_expense,98571785.42,301362-2024,90
301362,2023,is,selling_expense,91861544.61,301362-2024,90
301362,2024,is,rd,119680272.16,301362-2024,90
301362,2023,is,rd,99707595.36,301362-2024,90
301362,2024,is,profit,227369907.93,301362-2024,91
301362,2023,is,profit,228195405.85,301362-2024,91
301362,2024,is,parent_profit,230590202.57,301362-2024,91
301362,2023,is,parent_profit,230188078.69,301362-2024,91
301362,2024,cf,cfo,251597459.86,301362-2024,94
301362,2023,cf,cfo,260252916.03,301362-2024,94
301362,2024,cf,cfi,554194416.99,301362-2024,94
301362,2023,cf,cfi,-1338165222.01,301362-2024,94
301362,2024,cf,cff,-276580884.44,301362-2024,94
301362,2023,cf,cff,1160820262.70,301362-2024,94
301362,2024,cf,fx,17462100.70,301362-2024,94
301362,2023,cf,fx,10479609.62,301362-2024,94
301362,2024,cf,net_cash_change,546673093.11,301362-2024,94
301362,2023,cf,net_cash_change,93387566.34,301362-2024,94
301362,2024,cf,opening_cash,348864905.07,301362-2024,94
301362,2023,cf,opening_cash,255477338.73,301362-2024,94
301362,2024,cf,ending_cash,895537998.18,301362-2024,94
301362,2023,cf,ending_cash,348864905.07,301362-2024,94
002429,2024,bs,cash,4678139694.91,002429-2024,89
002429,2023,bs,cash,4091882378.33,002429-2024,89
002429,2024,bs,receivables,5016117010.98,002429-2024,89
002429,2023,bs,receivables,4638206893.87,002429-2024,89
002429,2024,bs,inventory,3407515694.01,002429-2024,89
002429,2023,bs,inventory,2678354450.59,002429-2024,89
002429,2024,bs,current_assets,18616796228.25,002429-2024,89
002429,2023,bs,current_assets,15484026964.75,002429-2024,89
002429,2024,bs,assets,29001028420.68,002429-2024,90
002429,2023,bs,assets,26723545986.88,002429-2024,90
002429,2024,bs,current_liabilities,8541887258.50,002429-2024,90
002429,2023,bs,current_liabilities,7689381436.15,002429-2024,90
002429,2024,bs,liabilities,12674054457.03,002429-2024,91
002429,2023,bs,liabilities,11496569155.52,002429-2024,91
002429,2024,bs,equity,16326973963.65,002429-2024,91
002429,2023,bs,equity,15226976831.36,002429-2024,91
002429,2024,is,revenue,20326296258.85,002429-2024,93
002429,2023,is,revenue,17167023446.70,002429-2024,93
002429,2024,is,cost,16835797722.78,002429-2024,93
002429,2023,is,cost,14000202006.09,002429-2024,93
002429,2024,is,selling_expense,256792055.11,002429-2024,93
002429,2023,is,selling_expense,304505571.49,002429-2024,93
002429,2024,is,rd,912143770.83,002429-2024,93
002429,2023,is,rd,703636433.27,002429-2024,93
002429,2024,is,profit,1731412347.10,002429-2024,94
002429,2023,is,profit,1649408581.51,002429-2024,94
002429,2024,is,parent_profit,1602493353.66,002429-2024,94
002429,2023,is,parent_profit,1588424325.80,002429-2024,94
002429,2024,cf,cfo,750885486.43,002429-2024,97
002429,2023,cf,cfo,2350549189.37,002429-2024,97
002429,2024,cf,cfi,-1183143558.36,002429-2024,97
002429,2023,cf,cfi,173437771.53,002429-2024,97
002429,2024,cf,cff,1022417458.09,002429-2024,98
002429,2023,cf,cff,-1631996040.31,002429-2024,98
002429,2024,cf,fx,12254017.62,002429-2024,98
002429,2023,cf,fx,6347388.59,002429-2024,98
002429,2024,cf,net_cash_change,602413403.78,002429-2024,98
002429,2023,cf,net_cash_change,898338309.18,002429-2024,98
002429,2024,cf,opening_cash,3142385030.23,002429-2024,98
002429,2023,cf,opening_cash,2244046721.05,002429-2024,98
002429,2024,cf,ending_cash,3744798434.01,002429-2024,98
002429,2023,cf,ending_cash,3142385030.23,002429-2024,98
688368,2023,bs,cash,245096454.37,688368-2023,121
688368,2022,bs,cash,287910771.88,688368-2023,121
688368,2023,bs,receivables,208057531.09,688368-2023,121
688368,2022,bs,receivables,166223962.55,688368-2023,121
688368,2023,bs,inventory,246640084.28,688368-2023,121
688368,2022,bs,inventory,253291479.03,688368-2023,121
688368,2023,bs,current_assets,1142761589.98,688368-2023,121
688368,2022,bs,current_assets,1292183520.63,688368-2023,121
688368,2023,bs,assets,2373077954.72,688368-2023,122
688368,2022,bs,assets,2516320053.51,688368-2023,122
688368,2023,bs,current_liabilities,683430548.27,688368-2023,122
688368,2022,bs,current_liabilities,679454283.39,688368-2023,122
688368,2023,bs,liabilities,901614707.89,688368-2023,122
688368,2022,bs,liabilities,989713759.07,688368-2023,122
688368,2023,bs,equity,1471463246.83,688368-2023,123
688368,2022,bs,equity,1526606294.44,688368-2023,123
688368,2023,is,revenue,1303235061.57,688368-2023,125
688368,2022,is,revenue,1079399833.63,688368-2023,125
688368,2023,is,cost,968682172.02,688368-2023,125
688368,2022,is,cost,889679485.17,688368-2023,125
688368,2023,is,selling_expense,39816573.82,688368-2023,125
688368,2022,is,selling_expense,31684298.05,688368-2023,125
688368,2023,is,rd,293812059.78,688368-2023,125
688368,2022,is,rd,303152799.94,688368-2023,125
688368,2023,is,profit,-79172100.57,688368-2023,126
688368,2022,is,profit,-205866848.77,688368-2023,126
688368,2023,is,parent_profit,-91260032.42,688368-2023,126
688368,2022,is,parent_profit,-205866848.77,688368-2023,126
688368,2023,cf,cfo,266891643.80,688368-2023,129
688368,2022,cf,cfo,-405552514.20,688368-2023,129
688368,2023,cf,cfi,-136186714.96,688368-2023,130
688368,2022,cf,cfi,294284169.86,688368-2023,130
688368,2023,cf,cff,-182756194.34,688368-2023,130
688368,2022,cf,cff,116751894.75,688368-2023,130
688368,2023,cf,fx,783563.56,688368-2023,130
688368,2022,cf,fx,5578832.94,688368-2023,130
688368,2023,cf,net_cash_change,-51267701.94,688368-2023,130
688368,2022,cf,net_cash_change,11062383.35,688368-2023,130
688368,2023,cf,opening_cash,280400232.60,688368-2023,130
688368,2022,cf,opening_cash,269337849.25,688368-2023,130
688368,2023,cf,ending_cash,229132530.66,688368-2023,130
688368,2022,cf,ending_cash,280400232.60,688368-2023,130
